As At,Year,Month number,Offence category,Offence type,Alcohol involvement,DV involvement,Reporting region,Statistical Area 2,Number of offences
1/03/2024,2008,1,Abduction - harassment and other offences against the person,Deprivation of liberty /false imprisonment,-,-,Alice Springs,,1
1/03/2024,2008,1,Abduction - harassment and other offences against the person,Deprivation of liberty /false imprisonment,-,-,NT Balance,Alligator,1
1/03/2024,2008,1,Abduction - harassment and other offences against the person,Deprivation of liberty /false imprisonment,-,-,Tennant Creek,,1
1/03/2024,2008,1,Abduction - harassment and other offences against the person,Harassment and private nuisance,-,-,NT Balance,Alligator,2
1/03/2024,2008,1,Abduction - harassment and other offences against the person,Harassment and private nuisance,-,-,NT Balance,Daly,1
1/03/2024,2008,1,Abduction - harassment and other offences against the person,Harassment and private nuisance,-,-,Palmerston,,2
1/03/2024,2008,1,Abduction - harassment and other offences against the person,Harassment and private nuisance,-,-,Tennant Creek,,3
1/03/2024,2008,1,Abduction - harassment and other offences against the person,Threatening behaviour,-,-,Alice Springs,,4
1/03/2024,2008,1,Abduction - harassment and other offences against the person,Threatening behaviour,-,-,Darwin,,2
1/03/2024,2008,1,Abduction - harassment and other offences against the person,Threatening behaviour,-,-,Katherine,,1
1/03/2024,2008,1,Abduction - harassment and other offences against the person,Threatening behaviour,-,-,Nhulunbuy,,1
1/03/2024,2008,1,Abduction - harassment and other offences against the person,Threatening behaviour,-,-,NT Balance,Alligator,1
1/03/2024,2008,1,Abduction - harassment and other offences against the person,Threatening behaviour,-,-,NT Balance,Barkly,1
1/03/2024,2008,1,Abduction - harassment and other offences against the person,Threatening behaviour,-,-,NT Balance,Victoria River,2
1/03/2024,2008,1,Abduction - harassment and other offences against the person,Threatening behaviour,-,-,NT Balance,Yuendumu - Anmatjere,1
1/03/2024,2008,1,Abduction - harassment and other offences against the person,Threatening behaviour,-,-,Palmerston,,4
1/03/2024,2008,1,Acts intended to cause Injury,Assault,No,No,Alice Springs,,15
1/03/2024,2008,1,Acts intended to cause Injury,Assault,No,No,Darwin,,32
1/03/2024,2008,1,Acts intended to cause Injury,Assault,No,No,Katherine,,3
1/03/2024,2008,1,Acts intended to cause Injury,Assault,No,No,Nhulunbuy,,1
1/03/2024,2008,1,Acts intended to cause Injury,Assault,No,No,NT Balance,East Arnhem,3
1/03/2024,2008,1,Acts intended to cause Injury,Assault,No,No,NT Balance,Gulf,2
1/03/2024,2008,1,Acts intended to cause Injury,Assault,No,No,NT Balance,Sandover - Plenty,2
1/03/2024,2008,1,Acts intended to cause Injury,Assault,No,No,NT Balance,Tanami,1
1/03/2024,2008,1,Acts intended to cause Injury,Assault,No,No,NT Balance,Thamarrurr,2
1/03/2024,2008,1,Acts intended to cause Injury,Assault,No,No,NT Balance,Tiwi Islands,2
1/03/2024,2008,1,Acts intended to cause Injury,Assault,No,No,Palmerston,,6
1/03/2024,2008,1,Acts intended to cause Injury,Assault,No,No,Tennant Creek,,8
1/03/2024,2008,1,Acts intended to cause Injury,Assault,No,Yes,Alice Springs,,9
1/03/2024,2008,1,Acts intended to cause Injury,Assault,No,Yes,Darwin,,15
1/03/2024,2008,1,Acts intended to cause Injury,Assault,No,Yes,Katherine,,8
1/03/2024,2008,1,Acts intended to cause Injury,Assault,No,Yes,NT Balance,Alligator,1
1/03/2024,2008,1,Acts intended to cause Injury,Assault,No,Yes,NT Balance,Anindilyakwa,4
1/03/2024,2008,1,Acts intended to cause Injury,Assault,No,Yes,NT Balance,Barkly,1
1/03/2024,2008,1,Acts intended to cause Injury,Assault,No,Yes,NT Balance,Daly,1
1/03/2024,2008,1,Acts intended to cause Injury,Assault,No,Yes,NT Balance,East Arnhem,2
1/03/2024,2008,1,Acts intended to cause Injury,Assault,No,Yes,NT Balance,Elsey,1
1/03/2024,2008,1,Acts intended to cause Injury,Assault,No,Yes,NT Balance,Gulf,6
1/03/2024,2008,1,Acts intended to cause Injury,Assault,No,Yes,NT Balance,Tanami,3
1/03/2024,2008,1,Acts intended to cause Injury,Assault,No,Yes,NT Balance,Thamarrurr,2
1/03/2024,2008,1,Acts intended to cause Injury,Assault,No,Yes,NT Balance,Tiwi Islands,4
1/03/2024,2008,1,Acts intended to cause Injury,Assault,No,Yes,NT Balance,Victoria River,1
1/03/2024,2008,1,Acts intended to cause Injury,Assault,No,Yes,NT Balance,West Arnhem,1
1/03/2024,2008,1,Acts intended to cause Injury,Assault,No,Yes,NT Balance,Yuendumu - Anmatjere,1
1/03/2024,2008,1,Acts intended to cause Injury,Assault,No,Yes,Palmerston,,3
1/03/2024,2008,1,Acts intended to cause Injury,Assault,No,Yes,Tennant Creek,,5
1/03/2024,2008,1,Acts intended to cause Injury,Assault,Yes,No,Alice Springs,,16
1/03/2024,2008,1,Acts intended to cause Injury,Assault,Yes,No,Darwin,,35
1/03/2024,2008,1,Acts intended to cause Injury,Assault,Yes,No,Katherine,,19
1/03/2024,2008,1,Acts intended to cause Injury,Assault,Yes,No,Nhulunbuy,,1
1/03/2024,2008,1,Acts intended to cause Injury,Assault,Yes,No,NT Balance,Alligator,3
1/03/2024,2008,1,Acts intended to cause Injury,Assault,Yes,No,NT Balance,Anindilyakwa,2
1/03/2024,2008,1,Acts intended to cause Injury,Assault,Yes,No,NT Balance,Barkly,1
1/03/2024,2008,1,Acts intended to cause Injury,Assault,Yes,No,NT Balance,Elsey,1
1/03/2024,2008,1,Acts intended to cause Injury,Assault,Yes,No,NT Balance,Gulf,1
