Date,Year,Month number,Crime Type,Offence category,Offence type,Reporting Region,Location,Location Type,Population,Alcohol involvement,DV involvement,Counting Rules Era,is_break_month,Number of offences
2023-12,2023,12,Assault & Violence,02 Assault,021 Serious Assault,Alice Springs,Alice Springs,Regional,25912.0,No,No,Nov-2023 to Mar-2025,False,28
2023-12,2023,12,Assault & Violence,02 Assault,021 Serious Assault,Alice Springs,Alice Springs,Regional,25912.0,No,Yes,Nov-2023 to Mar-2025,False,60
2023-12,2023,12,Assault & Violence,02 Assault,021 Serious Assault,Alice Springs,Alice Springs,Regional,25912.0,Yes,No,Nov-2023 to Mar-2025,False,19
2023-12,2023,12,Assault & Violence,02 Assault,021 Serious Assault,Alice Springs,Alice Springs,Regional,25912.0,Yes,Yes,Nov-2023 to Mar-2025,False,45
2023-12,2023,12,Assault & Violence,02 Assault,022 Assault of a prescribed officer,Alice Springs,Alice Springs,Regional,25912.0,No,No,Nov-2023 to Mar-2025,False,2
2023-12,2023,12,Assault & Violence,02 Assault,022 Assault of a prescribed officer,Alice Springs,Alice Springs,Regional,25912.0,No,Yes,Nov-2023 to Mar-2025,False,1
2023-12,2023,12,Assault & Violence,02 Assault,022 Assault of a prescribed officer,Alice Springs,Alice Springs,Regional,25912.0,Yes,No,Nov-2023 to Mar-2025,False,4
2023-12,2023,12,Assault & Violence,02 Assault,022 Assault of a prescribed officer,Alice Springs,Alice Springs,Regional,25912.0,Yes,Yes,Nov-2023 to Mar-2025,False,2
2023-12,2023,12,Assault & Violence,02 Assault,023 Common Assault,Alice Springs,Alice Springs,Regional,25912.0,No,No,Nov-2023 to Mar-2025,False,14
2023-12,2023,12,Assault & Violence,02 Assault,023 Common Assault,Alice Springs,Alice Springs,Regional,25912.0,No,Yes,Nov-2023 to Mar-2025,False,8
2023-12,2023,12,Assault & Violence,02 Assault,023 Common Assault,Alice Springs,Alice Springs,Regional,25912.0,Yes,No,Nov-2023 to Mar-2025,False,9
2023-12,2023,12,Assault & Violence,02 Assault,023 Common Assault,Alice Springs,Alice Springs,Regional,25912.0,Yes,Yes,Nov-2023 to Mar-2025,False,12
2023-12,2023,12,Commercial B&E,062 Burglary - non-residential,"062 Burglary - non-residential (commercial break-ins), actual",Alice Springs,Alice Springs,Regional,25912.0,-,-,Nov-2023 to Mar-2025,False,52
2023-12,2023,12,Commercial B&E,062 Burglary - non-residential,"062 Burglary - non-residential (commercial break-ins), attempted",Alice Springs,Alice Springs,Regional,25912.0,-,-,Nov-2023 to Mar-2025,False,6
2023-12,2023,12,General Theft,07 Theft,071 Motor vehicle theft and related offences,Alice Springs,Alice Springs,Regional,25912.0,-,-,Nov-2023 to Mar-2025,False,19
2023-12,2023,12,General Theft,07 Theft,07* Other theft,Alice Springs,Alice Springs,Regional,25912.0,-,-,Nov-2023 to Mar-2025,False,153
2023-12,2023,12,Harassment & Threats,04 Harm or endanger persons,"044 Acts that threaten, harass or control",Alice Springs,Alice Springs,Regional,25912.0,-,-,Nov-2023 to Mar-2025,False,7
2023-12,2023,12,Harassment & Threats,04 Harm or endanger persons,045 Driving causing serious injury,Alice Springs,Alice Springs,Regional,25912.0,-,-,Nov-2023 to Mar-2025,False,1
2023-12,2023,12,Harassment & Threats,04 Harm or endanger persons,049 Other acts that harm or endanger persons,Alice Springs,Alice Springs,Regional,25912.0,-,-,Nov-2023 to Mar-2025,False,6
2023-12,2023,12,Property Damage,11 Property damage offences,11 Property damage offences,Alice Springs,Alice Springs,Regional,25912.0,-,-,Nov-2023 to Mar-2025,False,274
2023-12,2023,12,Residential B&E,061 Burglary - dwelling,"061 Burglary - dwelling (house break-ins), actual",Alice Springs,Alice Springs,Regional,25912.0,-,-,Nov-2023 to Mar-2025,False,115
2023-12,2023,12,Residential B&E,061 Burglary - dwelling,"061 Burglary - dweling (house break-ins), attempted",Alice Springs,Alice Springs,Regional,25912.0,-,-,Nov-2023 to Mar-2025,False,20
2023-12,2023,12,Robbery & Extortion,"05 Robbery, blackmail, and extortion",051 Robbery,Alice Springs,Alice Springs,Regional,25912.0,-,-,Nov-2023 to Mar-2025,False,3
2023-12,2023,12,Sexual Offences,03 Sexual offences,031 Sexual assault of an adult,Alice Springs,Alice Springs,Regional,25912.0,-,-,Nov-2023 to Mar-2025,False,8
2023-12,2023,12,Assault & Violence,02 Assault,021 Serious Assault,NT Balance,Alligator,Remote,,No,Yes,Nov-2023 to Mar-2025,False,1
2023-12,2023,12,Assault & Violence,02 Assault,021 Serious Assault,NT Balance,Alligator,Remote,,Yes,Yes,Nov-2023 to Mar-2025,False,4
2023-12,2023,12,Assault & Violence,02 Assault,023 Common Assault,NT Balance,Alligator,Remote,,Yes,Yes,Nov-2023 to Mar-2025,False,2
2023-12,2023,12,Commercial B&E,062 Burglary - non-residential,"062 Burglary - non-residential (commercial break-ins), actual",NT Balance,Alligator,Remote,,-,-,Nov-2023 to Mar-2025,False,1
2023-12,2023,12,General Theft,07 Theft,071 Motor vehicle theft and related offences,NT Balance,Alligator,Remote,,-,-,Nov-2023 to Mar-2025,False,1
2023-12,2023,12,General Theft,07 Theft,07* Other theft,NT Balance,Alligator,Remote,,-,-,Nov-2023 to Mar-2025,False,10
2023-12,2023,12,Property Damage,11 Property damage offences,11 Property damage offences,NT Balance,Alligator,Remote,,-,-,Nov-2023 to Mar-2025,False,3
2023-12,2023,12,Sexual Offences,03 Sexual offences,031 Sexual assault of an adult,NT Balance,Alligator,Remote,,-,-,Nov-2023 to Mar-2025,False,1
2023-12,2023,12,Assault & Violence,02 Assault,021 Serious Assault,NT Balance,Anindilyakwa,Remote,,No,Yes,Nov-2023 to Mar-2025,False,1
2023-12,2023,12,Assault & Violence,02 Assault,021 Serious Assault,NT Balance,Anindilyakwa,Remote,,Yes,Yes,Nov-2023 to Mar-2025,False,2
2023-12,2023,12,General Theft,07 Theft,07* Other theft,NT Balance,Anindilyakwa,Remote,,-,-,Nov-2023 to Mar-2025,False,4
2023-12,2023,12,Harassment & Threats,04 Harm or endanger persons,"044 Acts that threaten, harass or control",NT Balance,Anindilyakwa,Remote,,-,-,Nov-2023 to Mar-2025,False,1
2023-12,2023,12,Property Damage,11 Property damage offences,11 Property damage offences,NT Balance,Anindilyakwa,Remote,,-,-,Nov-2023 to Mar-2025,False,2
2023-12,2023,12,Residential B&E,061 Burglary - dwelling,"061 Burglary - dwelling (house break-ins), actual",NT Balance,Anindilyakwa,Remote,,-,-,Nov-2023 to Mar-2025,False,8
2023-12,2023,12,Residential B&E,061 Burglary - dwelling,"061 Burglary - dweling (house break-ins), attempted",NT Balance,Anindilyakwa,Remote,,-,-,Nov-2023 to Mar-2025,False,2
2023-12,2023,12,Robbery & Extortion,"05 Robbery, blackmail, and extortion",051 Robbery,NT Balance,Anindilyakwa,Remote,,-,-,Nov-2023 to Mar-2025,False,1
2023-12,2023,12,Assault & Violence,02 Assault,021 Serious Assault,NT Balance,Barkly,Remote,,No,Yes,Nov-2023 to Mar-2025,False,2
2023-12,2023,12,Assault & Violence,02 Assault,021 Serious Assault,NT Balance,Barkly,Remote,,Yes,Yes,Nov-2023 to Mar-2025,False,1
2023-12,2023,12,Assault & Violence,02 Assault,023 Common Assault,NT Balance,Barkly,Remote,,No,No,Nov-2023 to Mar-2025,False,1
2023-12,2023,12,Assault & Violence,02 Assault,023 Common Assault,NT Balance,Barkly,Remote,,No,Yes,Nov-2023 to Mar-2025,False,1
2023-12,2023,12,Commercial B&E,062 Burglary - non-residential,"062 Burglary - non-residential (commercial break-ins), actual",NT Balance,Barkly,Remote,,-,-,Nov-2023 to Mar-2025,False,1
2023-12,2023,12,General Theft,07 Theft,07* Other theft,NT Balance,Barkly,Remote,,-,-,Nov-2023 to Mar-2025,False,2
2023-12,2023,12,Harassment & Threats,04 Harm or endanger persons,"044 Acts that threaten, harass or control",NT Balance,Barkly,Remote,,-,-,Nov-2023 to Mar-2025,False,2
2023-12,2023,12,Property Damage,11 Property damage offences,11 Property damage offences,NT Balance,Barkly,Remote,,-,-,Nov-2023 to Mar-2025,False,4
2023-12,2023,12,Residential B&E,061 Burglary - dwelling,"061 Burglary - dwelling (house break-ins), actual",NT Balance,Barkly,Remote,,-,-,Nov-2023 to Mar-2025,False,3
2023-12,2023,12,Sexual Offences,03 Sexual offences,032 Sexual assault of a child,NT Balance,Barkly,Remote,,-,-,Nov-2023 to Mar-2025,False,1
2023-12,2023,12,Assault & Violence,02 Assault,021 Serious Assault,NT Balance,Daly,Remote,,No,Yes,Nov-2023 to Mar-2025,False,1
2023-12,2023,12,Assault & Violence,02 Assault,021 Serious Assault,NT Balance,Daly,Remote,,Yes,No,Nov-2023 to Mar-2025,False,1
2023-12,2023,12,Assault & Violence,02 Assault,021 Serious Assault,NT Balance,Daly,Remote,,Yes,Yes,Nov-2023 to Mar-2025,False,2
2023-12,2023,12,Assault & Violence,02 Assault,022 Assault of a prescribed officer,NT Balance,Daly,Remote,,Yes,No,Nov-2023 to Mar-2025,False,1
2023-12,2023,12,Commercial B&E,062 Burglary - non-residential,"062 Burglary - non-residential (commercial break-ins), actual",NT Balance,Daly,Remote,,-,-,Nov-2023 to Mar-2025,False,4
2023-12,2023,12,General Theft,07 Theft,07* Other theft,NT Balance,Daly,Remote,,-,-,Nov-2023 to Mar-2025,False,4
2023-12,2023,12,Property Damage,11 Property damage offences,11 Property damage offences,NT Balance,Daly,Remote,,-,-,Nov-2023 to Mar-2025,False,1
2023-12,2023,12,Assault & Violence,02 Assault,021 Serious Assault,Darwin,Darwin,Urban,139902.0,No,No,Nov-2023 to Mar-2025,False,46
