Date,Year,Month number,Crime Type,Offence category,Offence type,Reporting Region,Location,Location Type,Population (ABS 2021 reference),Alcohol involvement,DV involvement,Data era,Source extract,is_break_month,Break note,Number of offences
2008-01,2008,1,Assault & Violence,Acts intended to cause Injury,Assault,Alice Springs,Alice Springs,Regional,,No,No,Historical / PROMIS,March 2024 historical extract,False,,15
2008-01,2008,1,Assault & Violence,Acts intended to cause Injury,Assault,Alice Springs,Alice Springs,Regional,,No,Yes,Historical / PROMIS,March 2024 historical extract,False,,9
2008-01,2008,1,Assault & Violence,Acts intended to cause Injury,Assault,Alice Springs,Alice Springs,Regional,,Yes,No,Historical / PROMIS,March 2024 historical extract,False,,16
2008-01,2008,1,Assault & Violence,Acts intended to cause Injury,Assault,Alice Springs,Alice Springs,Regional,,Yes,Yes,Historical / PROMIS,March 2024 historical extract,False,,53
2008-01,2008,1,Commercial B&E,Commercial break-ins,Commercial break-ins actual,Alice Springs,Alice Springs,Regional,,-,-,Historical / PROMIS,March 2024 historical extract,False,,31
2008-01,2008,1,Commercial B&E,Commercial break-ins,Commercial break-ins attempted,Alice Springs,Alice Springs,Regional,,-,-,Historical / PROMIS,March 2024 historical extract,False,,1
2008-01,2008,1,General Theft,Motor vehicle theft and related offences,Illegal use of a motor vehicle,Alice Springs,Alice Springs,Regional,,-,-,Historical / PROMIS,March 2024 historical extract,False,,9
2008-01,2008,1,General Theft,Theft and related offences (other than MV),Theft and related offences (other than MV),Alice Springs,Alice Springs,Regional,,-,-,Historical / PROMIS,March 2024 historical extract,False,,91
2008-01,2008,1,General Theft,Motor vehicle theft and related offences,Theft of motor vehicle parts or contents,Alice Springs,Alice Springs,Regional,,-,-,Historical / PROMIS,March 2024 historical extract,False,,14
2008-01,2008,1,Harassment & Threats,Abduction - harassment and other offences against the person,Deprivation of liberty /false imprisonment,Alice Springs,Alice Springs,Regional,,-,-,Historical / PROMIS,March 2024 historical extract,False,,1
2008-01,2008,1,Harassment & Threats,Other dangerous or negligent acts endangering persons,Other dangerous or negligent acts endangering persons,Alice Springs,Alice Springs,Regional,,-,-,Historical / PROMIS,March 2024 historical extract,False,,2
2008-01,2008,1,Harassment & Threats,Abduction - harassment and other offences against the person,Threatening behaviour,Alice Springs,Alice Springs,Regional,,-,-,Historical / PROMIS,March 2024 historical extract,False,,4
2008-01,2008,1,Property Damage,Property Damage Offences,Property damage offences,Alice Springs,Alice Springs,Regional,,-,-,Historical / PROMIS,March 2024 historical extract,False,,136
2008-01,2008,1,Residential B&E,House break-ins,House break-ins actual,Alice Springs,Alice Springs,Regional,,-,-,Historical / PROMIS,March 2024 historical extract,False,,26
2008-01,2008,1,Robbery & Extortion,Robbery - extortion and related offences,Robbery,Alice Springs,Alice Springs,Regional,,-,-,Historical / PROMIS,March 2024 historical extract,False,,1
2008-01,2008,1,Sexual Offences,Sexual assault and related offences,Sexual assault,Alice Springs,Alice Springs,Regional,,-,-,Historical / PROMIS,March 2024 historical extract,False,,9
2008-01,2008,1,Assault & Violence,Acts intended to cause Injury,Assault,NT Balance,Alligator,Remote,,No,Yes,Historical / PROMIS,March 2024 historical extract,False,,1
2008-01,2008,1,Assault & Violence,Acts intended to cause Injury,Assault,NT Balance,Alligator,Remote,,Yes,No,Historical / PROMIS,March 2024 historical extract,False,,3
2008-01,2008,1,Assault & Violence,Acts intended to cause Injury,Assault,NT Balance,Alligator,Remote,,Yes,Yes,Historical / PROMIS,March 2024 historical extract,False,,5
2008-01,2008,1,Commercial B&E,Commercial break-ins,Commercial break-ins actual,NT Balance,Alligator,Remote,,-,-,Historical / PROMIS,March 2024 historical extract,False,,3
2008-01,2008,1,General Theft,Theft and related offences (other than MV),Theft and related offences (other than MV),NT Balance,Alligator,Remote,,-,-,Historical / PROMIS,March 2024 historical extract,False,,7
2008-01,2008,1,General Theft,Motor vehicle theft and related offences,Theft of motor vehicle parts or contents,NT Balance,Alligator,Remote,,-,-,Historical / PROMIS,March 2024 historical extract,False,,2
2008-01,2008,1,Harassment & Threats,Abduction - harassment and other offences against the person,Deprivation of liberty /false imprisonment,NT Balance,Alligator,Remote,,-,-,Historical / PROMIS,March 2024 historical extract,False,,1
2008-01,2008,1,Harassment & Threats,Abduction - harassment and other offences against the person,Harassment and private nuisance,NT Balance,Alligator,Remote,,-,-,Historical / PROMIS,March 2024 historical extract,False,,2
2008-01,2008,1,Harassment & Threats,Abduction - harassment and other offences against the person,Threatening behaviour,NT Balance,Alligator,Remote,,-,-,Historical / PROMIS,March 2024 historical extract,False,,1
